,Unnamed: 0,Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
63,63,Brooklyn Nets,Milwaukee Bucks,0.5,0.481,0.394,0.733,44.8,27.4,13.7,5.6,5.1,0.3,115.4,115.6,0.589,0.6,0.471,0.391,0.73,38.2,21.4,15.3,8.2,4.9,-4.3,112.0,116.0,0.596,0,11/06/2023
64,64,Chicago Bulls,Utah Jazz,0.286,0.438,0.31,0.787,42.3,21.2,12.3,8.5,4.2,-8.8,106.2,115.0,0.526,0.286,0.448,0.359,0.745,46.5,26.2,16.7,6.2,4.2,-7.0,109.4,116.2,0.551,1,11/06/2023
65,65,Houston Rockets,Sacramento Kings,0.4,0.459,0.366,0.724,41.6,26.9,14.5,6.8,2.8,-3.6,108.0,111.6,0.557,0.4,0.434,0.326,0.748,43.5,24.7,12.0,6.8,5.4,-1.2,109.9,110.9,0.542,1,11/06/2023
66,66,Minnesota Timberwolves,Boston Celtics,0.6,0.466,0.371,0.806,48.1,24.1,14.0,8.3,6.7,9.7,110.8,101.2,0.563,1.0,0.501,0.389,0.841,51.1,23.3,13.8,6.5,6.1,18.1,124.7,106.5,0.624,1,11/06/2023
67,67,Denver Nuggets,New Orleans Pelicans,0.857,0.512,0.369,0.697,46.0,30.5,15.3,8.6,7.0,10.1,117.1,106.4,0.596,0.667,0.446,0.325,0.718,43.5,23.0,13.1,7.6,5.3,-2.8,107.3,110.3,0.544,1,11/06/2023
68,68,Oklahoma City Thunder,Atlanta Hawks,0.5,0.495,0.386,0.833,39.7,23.4,15.1,6.5,5.5,-0.7,113.2,114.4,0.607,0.667,0.491,0.343,0.843,44.8,26.9,14.2,8.4,4.0,7.4,119.3,111.8,0.6,1,11/06/2023
69,69,Charlotte Hornets,Washington Wizards,0.333,0.483,0.306,0.785,41.7,25.9,13.7,7.2,5.6,-5.2,112.4,117.7,0.57,0.167,0.486,0.351,0.719,36.3,27.3,14.2,8.4,5.5,-10.7,109.5,120.6,0.576,0,11/08/2023
70,70,Indiana Pacers,Utah Jazz,0.571,0.496,0.392,0.798,41.6,30.7,13.1,6.5,5.1,3.0,120.4,117.2,0.603,0.25,0.451,0.361,0.759,47.2,26.9,17.5,5.5,4.6,-8.2,110.0,117.9,0.557,1,11/08/2023
71,71,Memphis Grizzlies,Miami Heat,0.143,0.443,0.327,0.763,43.1,24.1,15.7,8.7,6.9,-6.5,104.4,110.9,0.544,0.429,0.455,0.38,0.817,43.1,26.3,15.1,8.9,3.1,-3.9,107.4,110.5,0.561,0,11/08/2023
72,72,Minnesota Timberwolves,New Orleans Pelicans,0.667,0.474,0.367,0.75,46.7,24.0,15.4,7.9,6.3,8.8,109.3,100.7,0.568,0.571,0.454,0.339,0.732,42.6,23.1,13.0,7.4,4.8,-5.0,108.4,113.6,0.552,1,11/08/2023
73,73,Brooklyn Nets,LA Clippers,0.429,0.481,0.388,0.744,44.7,26.5,12.8,5.1,4.9,-0.3,116.1,117.2,0.589,0.5,0.505,0.409,0.725,40.7,24.1,16.4,10.4,4.2,7.7,114.7,107.4,0.61,1,11/08/2023
74,74,Dallas Mavericks,Toronto Raptors,0.857,0.48,0.394,0.756,41.5,24.1,13.0,6.5,4.5,6.5,119.7,113.0,0.609,0.429,0.457,0.358,0.701,46.8,27.7,16.4,7.5,5.3,-0.3,107.8,107.3,0.551,0,11/08/2023
75,75,Denver Nuggets,Golden State Warriors,0.875,0.515,0.371,0.704,45.9,31.3,14.6,8.3,6.8,11.1,119.2,107.5,0.601,0.75,0.462,0.363,0.768,45.1,28.1,14.4,8.6,4.7,5.7,115.5,110.2,0.573,1,11/08/2023
76,76,Milwaukee Bucks,Detroit Pistons,0.667,0.472,0.379,0.75,39.7,22.1,14.4,7.8,4.4,-2.9,114.4,116.7,0.598,0.25,0.462,0.391,0.821,45.1,27.3,17.6,6.4,5.6,-3.5,109.4,112.6,0.563,1,11/08/2023
77,77,New York Knicks,San Antonio Spurs,0.429,0.408,0.332,0.729,50.9,22.4,15.2,9.1,2.2,2.0,105.5,103.2,0.512,0.429,0.473,0.351,0.768,38.5,27.6,14.9,8.0,5.5,-10.7,108.4,120.0,0.568,1,11/08/2023
78,78,Sacramento Kings,Portland Trail Blazers,0.333,0.436,0.329,0.719,42.4,24.5,12.7,6.6,4.9,-5.1,109.0,114.0,0.541,0.429,0.422,0.295,0.811,45.7,19.8,15.8,9.2,5.7,-5.4,103.8,109.2,0.52,1,11/08/2023
79,79,Philadelphia 76ers,Boston Celtics,0.833,0.499,0.39,0.833,45.1,26.3,14.8,9.0,7.2,13.0,119.9,107.3,0.613,0.833,0.483,0.372,0.823,49.2,22.3,14.2,7.4,5.3,14.1,119.9,105.8,0.604,1,11/08/2023
80,80,Chicago Bulls,Phoenix Suns,0.375,0.448,0.34,0.794,41.5,21.8,11.7,9.0,4.0,-5.6,109.2,114.9,0.54,0.429,0.469,0.355,0.825,44.0,25.0,16.5,7.7,7.1,1.6,111.4,109.6,0.581,0,11/08/2023
81,81,Houston Rockets,Los Angeles Lakers,0.5,0.476,0.384,0.736,41.6,27.4,14.0,7.1,3.0,1.2,111.7,110.5,0.579,0.429,0.477,0.298,0.785,42.8,24.3,14.5,7.2,6.8,-3.3,108.2,111.7,0.571,1,11/08/2023
82,82,Oklahoma City Thunder,Cleveland Cavaliers,0.571,0.493,0.388,0.851,40.6,23.7,14.7,6.5,5.7,0.7,114.0,113.6,0.606,0.429,0.449,0.323,0.782,45.6,24.0,13.6,7.6,6.0,-2.9,107.0,109.9,0.55,1,11/08/2023
83,83,Orlando Magic,Atlanta Hawks,0.571,0.455,0.319,0.731,45.6,25.1,15.9,9.5,5.6,3.2,108.9,105.6,0.548,0.571,0.472,0.342,0.843,46.3,26.6,14.2,8.3,3.9,5.1,117.8,112.8,0.585,0,11/09/2023
84,84,Indiana Pacers,Milwaukee Bucks,0.625,0.498,0.382,0.805,41.8,29.9,12.9,7.3,5.3,4.6,121.2,116.4,0.604,0.714,0.47,0.368,0.764,38.8,21.4,13.6,7.8,4.7,-2.2,114.0,115.8,0.595,1,11/09/2023
85,85,Detroit Pistons,Philadelphia 76ers,0.222,0.465,0.375,0.831,45.6,27.1,17.6,5.8,5.5,-3.3,109.5,112.5,0.563,0.857,0.49,0.37,0.836,46.5,25.4,14.6,8.7,7.2,11.5,117.6,106.2,0.599,0,11/10/2023
86,86,Boston Celtics,Brooklyn Nets,0.714,0.47,0.364,0.825,48.1,23.0,14.0,7.5,5.4,11.7,117.1,105.6,0.592,0.5,0.471,0.385,0.754,45.4,26.1,13.0,5.7,5.6,0.6,114.5,114.5,0.579,1,11/10/2023
87,87,Memphis Grizzlies,Utah Jazz,0.125,0.436,0.324,0.761,42.5,23.6,15.5,8.8,6.5,-6.4,104.2,110.5,0.538,0.222,0.453,0.364,0.777,46.9,26.7,17.8,5.2,4.6,-9.0,110.1,118.9,0.559,0,11/10/2023
