,Unnamed: 0.2,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
53,53,New Orleans Pelicans,New York Knicks,22100080,117,123,0.167,0.426,0.337,0.762,49.7,21.5,16.7,6.8,5.5,-6.8,101.5,107.9,0.517,0.8,0.456,0.38,0.712,46.5,23.5,13.6,7.6,6.6,7.2,112.6,106.1,0.567,0,2021-10-30,2021-22,0.1,0.2,1497.1221407792195,1506.5091338521877,1488.1429296328342,1515.4883449985728
54,54,Charlotte Hornets,Portland Trail Blazers,22100090,125,113,0.667,0.46,0.402,0.737,42.9,24.9,12.8,9.3,4.3,1.8,112.4,110.0,0.561,0.6,0.458,0.377,0.74,48.9,20.5,15.3,8.2,5.0,6.7,108.8,102.1,0.568,1,2021-10-31,2021-22,0.2,0.2,1504.555383485794,1509.3916506728772,1514.1036894283238,1499.843344730347
55,55,Dallas Mavericks,Sacramento Kings,22100089,105,99,0.6,0.396,0.31,0.708,46.5,19.5,13.5,6.8,5.2,-6.8,97.6,104.0,0.499,0.6,0.454,0.34,0.786,44.4,22.9,13.7,6.3,4.7,-2.2,108.6,110.5,0.558,1,2021-10-31,2021-22,0.2,0.2,1492.338163078428,1500.906341743312,1498.783466929797,1494.4610378919429
56,56,Milwaukee Bucks,Utah Jazz,22100091,95,107,0.5,0.444,0.324,0.759,43.8,21.0,14.3,7.9,4.0,-2.1,106.4,108.0,0.551,0.8,0.445,0.325,0.836,50.7,18.3,16.4,7.5,4.9,12.8,110.5,97.4,0.567,0,2021-10-31,2021-22,0.1,0.2,1491.129748844215,1524.886019217781,1478.6540977956358,1537.3616702663603
57,57,Brooklyn Nets,Detroit Pistons,22100092,117,91,0.5,0.434,0.325,0.771,46.1,20.9,14.1,6.7,6.6,-4.3,101.0,105.6,0.538,0.2,0.408,0.275,0.748,44.2,21.0,16.8,9.2,5.8,-8.0,97.2,105.0,0.497,1,2021-10-31,2021-22,0.2,0.1,1487.0648804680643,1487.732875058878,1502.9623631944753,1471.8353923324669
58,58,Los Angeles Lakers,Houston Rockets,22100093,95,85,0.5,0.487,0.389,0.724,42.0,23.5,16.3,7.8,5.9,-1.0,109.8,111.0,0.58,0.2,0.426,0.36,0.761,43.2,20.9,17.1,9.0,4.4,-6.9,100.6,107.5,0.538,1,2021-10-31,2021-22,0.3,0.0,1513.884797737472,1455.293994660016,1520.312586714126,1448.8662056833623
59,59,Memphis Grizzlies,Denver Nuggets,22100100,106,97,0.5,0.434,0.345,0.826,46.1,25.6,15.3,10.7,5.5,-4.7,109.6,114.9,0.544,0.667,0.479,0.313,0.671,44.5,23.8,18.8,9.5,3.7,4.5,101.0,97.5,0.558,1,2021-11-01,2021-22,0.1,0.2,1468.9824638326145,1503.904929624573,1478.0170270494443,1494.8703664077432
60,60,Charlotte Hornets,Cleveland Cavaliers,22100094,110,113,0.714,0.467,0.415,0.722,43.2,26.5,12.3,8.6,4.6,3.2,114.6,110.9,0.571,0.429,0.446,0.3,0.78,45.3,25.0,16.0,8.1,3.7,-1.7,103.3,104.4,0.537,0,2021-11-01,2021-22,0.3,0.2,1514.1036894283238,1509.6581669816337,1507.3244391174458,1516.4374172925116
61,61,Indiana Pacers,San Antonio Spurs,22100095,131,118,0.143,0.45,0.339,0.783,44.5,22.4,16.8,6.4,6.4,-4.0,105.1,109.1,0.552,0.333,0.46,0.321,0.657,44.5,26.9,13.2,9.2,4.7,1.6,105.2,102.9,0.53,1,2021-11-01,2021-22,0.0,0.1,1463.1281326344008,1499.4748725204083,1474.5652955044918,1488.0377096503173
62,62,Atlanta Hawks,Washington Wizards,22100097,118,111,0.5,0.45,0.339,0.758,50.8,24.3,13.5,6.3,3.8,0.3,106.2,105.8,0.527,0.833,0.44,0.327,0.801,47.4,19.3,12.7,6.9,5.8,3.9,106.1,102.5,0.542,1,2021-11-01,2021-22,0.2,0.3,1492.72697595023,1515.9269155870063,1500.1753644454311,1508.4785270918053
63,63,Minnesota Timberwolves,Orlando Magic,22100101,97,115,0.6,0.419,0.325,0.777,44.7,23.0,16.8,10.5,7.2,3.7,102.0,98.4,0.528,0.143,0.432,0.366,0.748,45.2,21.9,17.4,5.4,4.7,-11.5,104.1,115.4,0.543,0,2021-11-01,2021-22,0.1,0.1,1491.6447167903575,1475.7991185252115,1472.5246876037972,1494.9191477117722
